describle,movie_name,movie_num,star,value
一场没有春天的噩梦。,梦之安魂曲,231,8.7,145346人评价
“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,疯狂的麦克斯4：狂暴之路,232,8.6,298766人评价
新闻人的理性求真。,聚焦,233,8.8,173603人评价
生病的E.T.皮肤的颜色就像柿子饼。,E.T. 外星人,234,8.6,212450人评价
还原真实而残酷的战争。,黑鹰坠落,235,8.6,170668人评价
科幻真正的魅力不是视觉效果能取代的。 ,这个男人来自地球,236,8.5,246026人评价
没有了退路，只好飞向自由。,末路狂花,237,8.7,138736人评价
用剩余不多的时间，去燃烧整个生命。,遗愿清单,238,8.6,192815人评价
我完全康复了。,发条橙,239,8.5,238998人评价
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,变脸,240,8.4,273790人评价
类型片的极致。 ,勇闯夺命岛,241,8.6,183040人评价
皇上无话儿。,国王的演讲,242,8.4,437790人评价
你要相信，这世上真的有爱存在，不管在什么年纪 ,我爱你,243,9.0,85198人评价
一部能引人思考的科幻励志片。,千钧一发,244,8.7,132272人评价
最棒的西部片。,黄金三镖客,245,9.1,71465人评价
我不信仰上帝，但我敬畏上帝。,非常嫌疑犯,246,8.6,164276人评价
青春就是放弃和怀念。,秒速5厘米,247,8.3,415334人评价
过去的如果就让它过去了，未来只会越来越糟！,驴得水,248,8.3,507235人评价
魔法的密室之门已打开...,哈利·波特与密室,249,8.4,281503人评价
,哈利·波特与阿兹卡班的囚徒,250,8.5,262497人评价
